work_id,signal_id,dimension,severity,points,observed_value,threshold,evidence_summary
WS/MP524/2026-2027/290140,DQ_MISSING_REC_SERIES,data_quality,Low,15,AP Catalog Uncoupling,State-level recommendation series unmapped,Recommended sheet Work_ID series does not map to sanctioned master series in source workbook; recommendation dates unlinked.
WS/MP524/2024-2025/151568,LIFE_PROLONGED_STAGNATION,lifecycle_execution,Moderate,30,570 days,> 445 days since last expenditure,No expenditure transactions recorded for 570 days (P90 delay threshold) on an uncompleted project.
WS/MP524/2024-2025/151568,DQ_DISBURSEMENT_RECONCILIATION_GAP,data_quality,Moderate,25,"Disb: None, Exp: 160189.0",Transaction expenditure without master disbursement OR completed without disbursement OR > 5% mismatch,"Expenditure transactions record ₹160,189.00 disbursed, but master amount_disbursed is unpopulated."
WS/MP524/2024-2025/151568,DQ_MISSING_REC_SERIES,data_quality,Low,15,AP Catalog Uncoupling,State-level recommendation series unmapped,Recommended sheet Work_ID series does not map to sanctioned master series in source workbook; recommendation dates unlinked.
WS/MP524/2025-2026/215336,DQ_DISBURSEMENT_RECONCILIATION_GAP,data_quality,Moderate,25,"Disb: None, Exp: 339327.0",Transaction expenditure without master disbursement OR completed without disbursement OR > 5% mismatch,"Expenditure transactions record ₹339,327.00 disbursed, but master amount_disbursed is unpopulated."
WS/MP524/2025-2026/215336,DQ_MISSING_REC_SERIES,data_quality,Low,15,AP Catalog Uncoupling,State-level recommendation series unmapped,Recommended sheet Work_ID series does not map to sanctioned master series in source workbook; recommendation dates unlinked.
WS/MP524/2024-2025/168911,LIFE_PROLONGED_STAGNATION,lifecycle_execution,Moderate,30,530 days,> 445 days since last expenditure,No expenditure transactions recorded for 530 days (P90 delay threshold) on an uncompleted project.
WS/MP524/2024-2025/168911,DQ_MISSING_REC_SERIES,data_quality,Low,15,AP Catalog Uncoupling,State-level recommendation series unmapped,Recommended sheet Work_ID series does not map to sanctioned master series in source workbook; recommendation dates unlinked.
WS/MP524/2026-2027/271392,DQ_MISSING_REC_SERIES,data_quality,Low,15,AP Catalog Uncoupling,State-level recommendation series unmapped,Recommended sheet Work_ID series does not map to sanctioned master series in source workbook; recommendation dates unlinked.
WS/MP524/2026-2027/290176,DQ_MISSING_REC_SERIES,data_quality,Low,15,AP Catalog Uncoupling,State-level recommendation series unmapped,Recommended sheet Work_ID series does not map to sanctioned master series in source workbook; recommendation dates unlinked.
WS/MP524/2025-2026/271486,DQ_DISBURSEMENT_RECONCILIATION_GAP,data_quality,Moderate,25,"Disb: None, Exp: 499945.0",Transaction expenditure without master disbursement OR completed without disbursement OR > 5% mismatch,"Expenditure transactions record ₹499,945.00 disbursed, but master amount_disbursed is unpopulated."
WS/MP524/2025-2026/271486,DQ_MISSING_REC_SERIES,data_quality,Low,15,AP Catalog Uncoupling,State-level recommendation series unmapped,Recommended sheet Work_ID series does not map to sanctioned master series in source workbook; recommendation dates unlinked.
WS/MP524/2025-2026/194131,TX_EARLY_STAGE_HIGH_EXP,transaction_pattern,Moderate,30,100.0% spent during 'Vendor Identification',>= 75% expenditure in preliminary status,"100.0% of sanctioned budget is represented by expenditure transactions (₹499,996.00) while project status remains officially in 'Vendor Identification'."
WS/MP524/2025-2026/194131,LIFE_STATUS_DISCONNECT,lifecycle_execution,Moderate,25,"Status: Vendor Identification, Exp: 100.0%",Substantial financial execution prior to execution milestone,Complete or near-complete financial disbursement precedes formal physical execution milestones (Status: 'Vendor Identification').
WS/MP524/2025-2026/194131,DQ_DISBURSEMENT_RECONCILIATION_GAP,data_quality,Moderate,25,"Disb: None, Exp: 499996.0",Transaction expenditure without master disbursement OR completed without disbursement OR > 5% mismatch,"Expenditure transactions record ₹499,996.00 disbursed, but master amount_disbursed is unpopulated."
WS/MP524/2025-2026/194131,DQ_MISSING_REC_SERIES,data_quality,Low,15,AP Catalog Uncoupling,State-level recommendation series unmapped,Recommended sheet Work_ID series does not map to sanctioned master series in source workbook; recommendation dates unlinked.
WS/MP524/2024-2025/170461,DQ_MISSING_REC_SERIES,data_quality,Low,15,AP Catalog Uncoupling,State-level recommendation series unmapped,Recommended sheet Work_ID series does not map to sanctioned master series in source workbook; recommendation dates unlinked.
WS/MP529/2024-2025/161711,TX_EARLY_STAGE_HIGH_EXP,transaction_pattern,Moderate,30,99.9% spent during 'Vendor Identification',>= 75% expenditure in preliminary status,"99.9% of sanctioned budget is represented by expenditure transactions (₹137,882.00) while project status remains officially in 'Vendor Identification'."
WS/MP529/2024-2025/161711,LIFE_STATUS_DISCONNECT,lifecycle_execution,Moderate,25,"Status: Vendor Identification, Exp: 99.9%",Substantial financial execution prior to execution milestone,Complete or near-complete financial disbursement precedes formal physical execution milestones (Status: 'Vendor Identification').
WS/MP529/2024-2025/161711,DQ_DISBURSEMENT_RECONCILIATION_GAP,data_quality,Moderate,25,"Disb: None, Exp: 137882.0",Transaction expenditure without master disbursement OR completed without disbursement OR > 5% mismatch,"Expenditure transactions record ₹137,882.00 disbursed, but master amount_disbursed is unpopulated."
WS/MP529/2024-2025/161711,DQ_MISSING_REC_SERIES,data_quality,Low,15,AP Catalog Uncoupling,State-level recommendation series unmapped,Recommended sheet Work_ID series does not map to sanctioned master series in source workbook; recommendation dates unlinked.
WS/MP529/2025-2026/208021,DQ_MISSING_REC_SERIES,data_quality,Low,15,AP Catalog Uncoupling,State-level recommendation series unmapped,Recommended sheet Work_ID series does not map to sanctioned master series in source workbook; recommendation dates unlinked.
WS/MP529/2026-2027/286846,DQ_MISSING_REC_SERIES,data_quality,Low,15,AP Catalog Uncoupling,State-level recommendation series unmapped,Recommended sheet Work_ID series does not map to sanctioned master series in source workbook; recommendation dates unlinked.
WS/MP529/2025-2026/236642,DQ_MISSING_REC_SERIES,data_quality,Low,15,AP Catalog Uncoupling,State-level recommendation series unmapped,Recommended sheet Work_ID series does not map to sanctioned master series in source workbook; recommendation dates unlinked.
WS/MP529/2025-2026/199548,DQ_DISBURSEMENT_RECONCILIATION_GAP,data_quality,Moderate,25,"Disb: None, Exp: 241005.0",Transaction expenditure without master disbursement OR completed without disbursement OR > 5% mismatch,"Expenditure transactions record ₹241,005.00 disbursed, but master amount_disbursed is unpopulated."
WS/MP529/2025-2026/199548,DQ_MISSING_REC_SERIES,data_quality,Low,15,AP Catalog Uncoupling,State-level recommendation series unmapped,Recommended sheet Work_ID series does not map to sanctioned master series in source workbook; recommendation dates unlinked.
WS/MP529/2025-2026/208634,DQ_MISSING_REC_SERIES,data_quality,Low,15,AP Catalog Uncoupling,State-level recommendation series unmapped,Recommended sheet Work_ID series does not map to sanctioned master series in source workbook; recommendation dates unlinked.
WS/MP529/2024-2025/161704,TX_EARLY_STAGE_HIGH_EXP,transaction_pattern,Moderate,30,100.0% spent during 'Vendor Identification',>= 75% expenditure in preliminary status,"100.0% of sanctioned budget is represented by expenditure transactions (₹423,883.00) while project status remains officially in 'Vendor Identification'."
WS/MP529/2024-2025/161704,LIFE_STATUS_DISCONNECT,lifecycle_execution,Moderate,25,"Status: Vendor Identification, Exp: 100.0%",Substantial financial execution prior to execution milestone,Complete or near-complete financial disbursement precedes formal physical execution milestones (Status: 'Vendor Identification').
WS/MP529/2024-2025/161704,DQ_DISBURSEMENT_RECONCILIATION_GAP,data_quality,Moderate,25,"Disb: None, Exp: 423883.0",Transaction expenditure without master disbursement OR completed without disbursement OR > 5% mismatch,"Expenditure transactions record ₹423,883.00 disbursed, but master amount_disbursed is unpopulated."
WS/MP529/2024-2025/161704,DQ_MISSING_REC_SERIES,data_quality,Low,15,AP Catalog Uncoupling,State-level recommendation series unmapped,Recommended sheet Work_ID series does not map to sanctioned master series in source workbook; recommendation dates unlinked.
WS/MP529/2024-2025/157360,DQ_MISSING_REC_SERIES,data_quality,Low,15,AP Catalog Uncoupling,State-level recommendation series unmapped,Recommended sheet Work_ID series does not map to sanctioned master series in source workbook; recommendation dates unlinked.
WS/MP529/2024-2025/161721,DQ_MISSING_REC_SERIES,data_quality,Low,15,AP Catalog Uncoupling,State-level recommendation series unmapped,Recommended sheet Work_ID series does not map to sanctioned master series in source workbook; recommendation dates unlinked.
WS/MP526/2025-2026/257274,DQ_MISSING_REC_SERIES,data_quality,Low,15,AP Catalog Uncoupling,State-level recommendation series unmapped,Recommended sheet Work_ID series does not map to sanctioned master series in source workbook; recommendation dates unlinked.
WS/MP526/2026-2027/275157,DQ_MISSING_REC_SERIES,data_quality,Low,15,AP Catalog Uncoupling,State-level recommendation series unmapped,Recommended sheet Work_ID series does not map to sanctioned master series in source workbook; recommendation dates unlinked.
WS/MP526/2025-2026/166421,DQ_DISBURSEMENT_RECONCILIATION_GAP,data_quality,Moderate,25,"Disb: None, Exp: 199844.0",Transaction expenditure without master disbursement OR completed without disbursement OR > 5% mismatch,"Expenditure transactions record ₹199,844.00 disbursed, but master amount_disbursed is unpopulated."
WS/MP526/2025-2026/166421,DQ_MISSING_REC_SERIES,data_quality,Low,15,AP Catalog Uncoupling,State-level recommendation series unmapped,Recommended sheet Work_ID series does not map to sanctioned master series in source workbook; recommendation dates unlinked.
WS/MP526/2025-2026/258214,DQ_DISBURSEMENT_RECONCILIATION_GAP,data_quality,Moderate,25,"Disb: None, Exp: 598584.0",Transaction expenditure without master disbursement OR completed without disbursement OR > 5% mismatch,"Expenditure transactions record ₹598,584.00 disbursed, but master amount_disbursed is unpopulated."
WS/MP526/2025-2026/258214,DQ_MISSING_REC_SERIES,data_quality,Low,15,AP Catalog Uncoupling,State-level recommendation series unmapped,Recommended sheet Work_ID series does not map to sanctioned master series in source workbook; recommendation dates unlinked.
WS/MP526/2025-2026/191640,TX_EARLY_STAGE_HIGH_EXP,transaction_pattern,Moderate,30,99.8% spent during 'Vendor Identification',>= 75% expenditure in preliminary status,"99.8% of sanctioned budget is represented by expenditure transactions (₹498,197.00) while project status remains officially in 'Vendor Identification'."
WS/MP526/2025-2026/191640,LIFE_STATUS_DISCONNECT,lifecycle_execution,Moderate,25,"Status: Vendor Identification, Exp: 99.8%",Substantial financial execution prior to execution milestone,Complete or near-complete financial disbursement precedes formal physical execution milestones (Status: 'Vendor Identification').
WS/MP526/2025-2026/191640,DQ_DISBURSEMENT_RECONCILIATION_GAP,data_quality,Moderate,25,"Disb: None, Exp: 498197.0",Transaction expenditure without master disbursement OR completed without disbursement OR > 5% mismatch,"Expenditure transactions record ₹498,197.00 disbursed, but master amount_disbursed is unpopulated."
WS/MP526/2025-2026/191640,DQ_MISSING_REC_SERIES,data_quality,Low,15,AP Catalog Uncoupling,State-level recommendation series unmapped,Recommended sheet Work_ID series does not map to sanctioned master series in source workbook; recommendation dates unlinked.
WS/MP526/2025-2026/224355,DQ_MISSING_REC_SERIES,data_quality,Low,15,AP Catalog Uncoupling,State-level recommendation series unmapped,Recommended sheet Work_ID series does not map to sanctioned master series in source workbook; recommendation dates unlinked.
WS/MP526/2026-2027/258199,DQ_MISSING_REC_SERIES,data_quality,Low,15,AP Catalog Uncoupling,State-level recommendation series unmapped,Recommended sheet Work_ID series does not map to sanctioned master series in source workbook; recommendation dates unlinked.
WS/MP526/2024-2025/147538,LIFE_PROLONGED_STAGNATION,lifecycle_execution,Moderate,30,501 days,> 445 days since last expenditure,No expenditure transactions recorded for 501 days (P90 delay threshold) on an uncompleted project.
WS/MP526/2024-2025/147538,DQ_MISSING_REC_SERIES,data_quality,Low,15,AP Catalog Uncoupling,State-level recommendation series unmapped,Recommended sheet Work_ID series does not map to sanctioned master series in source workbook; recommendation dates unlinked.
WS/MP526/2026-2027/282554,DQ_DISBURSEMENT_RECONCILIATION_GAP,data_quality,Moderate,25,"Disb: None, Exp: 397856.0",Transaction expenditure without master disbursement OR completed without disbursement OR > 5% mismatch,"Expenditure transactions record ₹397,856.00 disbursed, but master amount_disbursed is unpopulated."
WS/MP526/2026-2027/282554,DQ_MISSING_REC_SERIES,data_quality,Low,15,AP Catalog Uncoupling,State-level recommendation series unmapped,Recommended sheet Work_ID series does not map to sanctioned master series in source workbook; recommendation dates unlinked.
WS/MP522/2024-2025/163222,DQ_DISBURSEMENT_RECONCILIATION_GAP,data_quality,Moderate,25,"Disb: None, Exp: 519185.0",Transaction expenditure without master disbursement OR completed without disbursement OR > 5% mismatch,"Expenditure transactions record ₹519,185.00 disbursed, but master amount_disbursed is unpopulated."
WS/MP522/2024-2025/163222,DQ_MISSING_REC_SERIES,data_quality,Low,15,AP Catalog Uncoupling,State-level recommendation series unmapped,Recommended sheet Work_ID series does not map to sanctioned master series in source workbook; recommendation dates unlinked.
WS/MP522/2025-2026/253887,DQ_DISBURSEMENT_RECONCILIATION_GAP,data_quality,Moderate,25,"Disb: None, Exp: 366447.0",Transaction expenditure without master disbursement OR completed without disbursement OR > 5% mismatch,"Expenditure transactions record ₹366,447.00 disbursed, but master amount_disbursed is unpopulated."
WS/MP522/2025-2026/253887,DQ_MISSING_REC_SERIES,data_quality,Low,15,AP Catalog Uncoupling,State-level recommendation series unmapped,Recommended sheet Work_ID series does not map to sanctioned master series in source workbook; recommendation dates unlinked.
WS/MP522/2025-2026/251430,DQ_MISSING_REC_SERIES,data_quality,Low,15,AP Catalog Uncoupling,State-level recommendation series unmapped,Recommended sheet Work_ID series does not map to sanctioned master series in source workbook; recommendation dates unlinked.
WS/MP522/2025-2026/260868,DQ_MISSING_REC_SERIES,data_quality,Low,15,AP Catalog Uncoupling,State-level recommendation series unmapped,Recommended sheet Work_ID series does not map to sanctioned master series in source workbook; recommendation dates unlinked.
WS/MP522/2025-2026/260681,DQ_MISSING_REC_SERIES,data_quality,Low,15,AP Catalog Uncoupling,State-level recommendation series unmapped,Recommended sheet Work_ID series does not map to sanctioned master series in source workbook; recommendation dates unlinked.
